match_id,game_mode,game_start_timestamp,game_start_date,game_end_date,game_duration,champion,position,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,win
SG2_130384576,Ranked Solo/Duo,1769268231912,2026-01-24 15:23:51,2026-01-24 15:50:47,1616,Sion,TOP,5,2,5,5.0,12639,192,7.13,14869,29135,17687,15310,2377,552.07,True
SG2_130370070,Ranked Solo/Duo,1769264998144,2026-01-24 14:29:58,2026-01-24 15:02:30,1952,Sion,TOP,4,2,9,6.5,14187,241,7.41,16917,33818,20852,16541,4311,519.99,True
SG2_130357265,Ranked Solo/Duo,1769262820233,2026-01-24 13:53:40,2026-01-24 14:23:26,1786,Rakan,UTILITY,1,5,6,1.4,7225,34,1.14,4219,20205,0,0,0,141.74,False
SG2_130340687,Ranked Solo/Duo,1769259988205,2026-01-24 13:06:28,2026-01-24 13:37:39,1871,Rakan,UTILITY,1,3,18,6.33,9746,43,1.38,6898,19147,5128,5128,0,221.21,True
SG2_130320164,Ranked Solo/Duo,1769254367962,2026-01-24 11:32:47,2026-01-24 12:06:59,2052,Blitzcrank,UTILITY,1,9,14,1.67,10071,37,1.08,8736,29611,1815,731,1084,255.44,True
SG2_130313546,Ranked Solo/Duo,1769252609662,2026-01-24 11:03:29,2026-01-24 11:27:00,1411,Ambessa,TOP,4,1,3,7.0,8932,178,7.57,17444,15330,5784,5784,0,741.77,True
SG2_130307085,Ranked Solo/Duo,1769250171608,2026-01-24 10:22:51,2026-01-24 10:58:28,2137,Ambessa,TOP,0,11,12,1.09,9445,145,4.07,20739,43835,2152,2152,0,582.28,False
SG2_130299164,Ranked Solo/Duo,1769248036806,2026-01-24 09:47:16,2026-01-24 10:17:35,1819,Pantheon,TOP,8,6,9,2.83,11421,168,5.54,20767,31515,12040,7544,4496,685.0,True
SG2_130291096,Ranked Solo/Duo,1769245782557,2026-01-24 09:09:42,2026-01-24 09:39:25,1783,TahmKench,UTILITY,0,4,6,1.5,7472,39,1.31,8709,29184,64,0,64,293.07,False
SG2_129910293,Ranked Flex,1769098766934,2026-01-22 16:19:26,2026-01-22 16:55:33,2167,Zaahen,TOP,10,10,8,1.8,15803,242,6.7,35081,62198,11275,11275,0,971.32,False
SG2_129897128,Ranked Flex,1769095930999,2026-01-22 15:32:10,2026-01-22 15:59:07,1617,Volibear,TOP,7,5,3,2.0,12279,196,7.27,26334,32741,14311,14311,0,977.14,True
SG2_129630305,Ranked Flex,1769004251301,2026-01-21 14:04:11,2026-01-21 14:34:30,1819,Taric,JUNGLE,2,4,19,5.25,11082,144,4.75,7649,32065,54750,3762,50988,252.3,True
SG2_129608974,Ranked Flex,1769000652778,2026-01-21 13:04:12,2026-01-21 13:36:43,1951,Chogath,JUNGLE,11,4,19,7.5,13550,153,4.71,31148,35528,34155,464,33691,957.91,True
SG2_129596121,Ranked Solo/Duo,1768997473076,2026-01-21 12:11:13,2026-01-21 12:42:27,1874,Pantheon,TOP,8,2,5,6.5,11424,214,6.85,29079,33027,7241,5397,1844,931.02,False
SG2_129587108,Ranked Solo/Duo,1768995058191,2026-01-21 11:30:58,2026-01-21 12:01:30,1832,Volibear,TOP,2,11,8,0.91,10816,173,5.67,11649,36225,11110,11110,0,381.52,True
SG2_129574312,Ranked Solo/Duo,1768991875715,2026-01-21 10:37:55,2026-01-21 11:05:01,1626,Volibear,TOP,3,7,3,0.86,9136,163,6.01,15843,24858,12670,6217,6453,584.61,True
SG2_129435257,Ranked Solo/Duo,1768927122408,2026-01-20 16:38:42,2026-01-20 17:08:54,1812,Milio,UTILITY,1,5,21,4.4,9244,20,0.66,4971,15457,3511,2748,763,164.6,True
SG2_129424276,Ranked Solo/Duo,1768924869837,2026-01-20 16:01:09,2026-01-20 16:31:56,1847,Milio,UTILITY,0,5,20,4.0,9287,21,0.68,5623,20103,4278,2309,1969,182.66,True
SG2_129407886,Ranked Solo/Duo,1768921917145,2026-01-20 15:11:57,2026-01-20 15:53:04,2467,Gangplank,TOP,8,7,14,3.14,17842,282,6.86,30641,40366,19082,8203,10879,745.22,True
SG2_129397627,Ranked Solo/Duo,1768919864573,2026-01-20 14:37:44,2026-01-20 15:05:51,1687,Aatrox,TOP,1,7,3,0.57,7865,171,6.08,7736,25568,397,0,397,275.14,False
SG2_129390084,Ranked Solo/Duo,1768918414536,2026-01-20 14:13:34,2026-01-20 14:31:59,1105,Gnar,TOP,2,3,1,1.0,5780,105,5.7,7828,12579,0,0,0,425.05,False
SG2_129201641,Ranked Solo/Duo,1768841862008,2026-01-19 16:57:42,2026-01-19 17:30:18,1956,Leona,UTILITY,2,5,19,4.2,10568,41,1.26,6999,27235,4013,1130,2883,214.69,True
SG2_129187852,Ranked Solo/Duo,1768838736974,2026-01-19 16:05:36,2026-01-19 16:43:26,2270,Aatrox,TOP,7,7,11,2.57,13997,206,5.44,22509,42106,12111,8436,3675,594.95,False
SG2_128936956,Ranked Solo/Duo,1768749758245,2026-01-18 15:22:38,2026-01-18 15:47:48,1510,Gnar,TOP,6,5,5,2.2,9694,145,5.76,22305,22235,10487,6318,4169,886.29,False
SG2_128929294,Ranked Solo/Duo,1768747913684,2026-01-18 14:51:53,2026-01-18 15:17:59,1566,Gnar,TOP,4,4,7,2.75,10472,194,7.43,18441,20906,6365,5042,1323,706.55,True
SG2_128918534,Ranked Solo/Duo,1768746035512,2026-01-18 14:20:35,2026-01-18 14:46:57,1582,Volibear,TOP,1,4,7,2.0,11161,229,8.69,14953,23823,17558,11600,5958,567.12,True
SG2_128905071,Ranked Solo/Duo,1768743420646,2026-01-18 13:37:00,2026-01-18 14:14:25,2245,Ambessa,TOP,2,8,6,1.0,12014,223,5.96,15152,37351,8396,5665,2731,404.95,True
SG2_128893833,Ranked Solo/Duo,1768741684372,2026-01-18 13:08:04,2026-01-18 13:30:26,1342,Sion,TOP,2,2,4,3.0,8706,169,7.56,16079,16283,9154,9154,0,718.88,True
SG2_128881956,Ranked Solo/Duo,1768739330717,2026-01-18 12:28:50,2026-01-18 13:00:26,1896,Ornn,TOP,3,2,9,6.0,11724,224,7.09,16816,23918,10852,9352,1500,532.15,True
SG2_128843673,Ranked Solo/Duo,1768729293137,2026-01-18 09:41:33,2026-01-18 10:09:56,1703,Ambessa,TOP,9,4,4,3.25,10771,148,5.21,25588,27278,7181,4455,2726,901.51,False
SG2_128833925,Ranked Solo/Duo,1768727354436,2026-01-18 09:09:14,2026-01-18 09:36:03,1609,Pantheon,TOP,0,8,4,0.5,6705,130,4.85,11220,28427,0,0,0,418.4,False
SG2_128826329,Ranked Solo/Duo,1768725225234,2026-01-18 08:33:45,2026-01-18 09:04:16,1831,Gnar,TOP,5,5,4,1.8,11405,199,6.52,32105,32677,10293,3413,6880,1052.05,False
SG2_128810800,Ranked Solo/Duo,1768721813215,2026-01-18 07:36:53,2026-01-18 07:59:45,1372,Gnar,TOP,8,1,6,14.0,10167,141,6.17,25641,18233,9909,8946,963,1121.33,True
