match_id,game_mode,game_start_timestamp,game_start_date,game_end_date,game_duration,champion,position,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,win
SG2_130851617,Ranked Solo/Duo,1769436168216,2026-01-26 14:02:48,2026-01-26 14:28:47,1559,Gnar,TOP,5,1,11,16.0,12499,206,7.93,22967,26521,23308,11847,11461,883.91,True
SG2_130840284,Ranked Solo/Duo,1769433894572,2026-01-26 13:24:54,2026-01-26 13:53:49,1735,KSante,TOP,1,7,11,1.71,8757,175,6.05,9743,31660,3441,1399,2042,336.93,True
SG2_130830863,Ranked Solo/Duo,1769432496429,2026-01-26 13:01:36,2026-01-26 13:16:49,913,Rell,UTILITY,2,7,2,0.57,4300,15,0.99,3606,10868,0,0,0,236.98,False
SG2_130824110,Ranked Solo/Duo,1769430215439,2026-01-26 12:23:35,2026-01-26 12:54:49,1874,DrMundo,TOP,4,3,7,3.67,12865,210,6.72,23078,36960,19339,13384,5955,738.89,True
SG2_130692414,Ranked Solo/Duo,1769364413015,2026-01-25 18:06:53,2026-01-25 18:43:51,2218,Ornn,TOP,6,4,11,4.25,12848,202,5.46,33420,65150,14630,12002,2628,904.06,True
SG2_130682595,Ranked Solo/Duo,1769361581616,2026-01-25 17:19:41,2026-01-25 17:59:43,2402,KSante,TOP,6,7,15,3.0,15032,237,5.92,27064,51904,5791,5499,292,676.04,True
SG2_130677180,Ranked Solo/Duo,1769359601427,2026-01-25 16:46:41,2026-01-25 17:13:36,1615,Ornn,TOP,5,4,1,1.5,9825,179,6.65,16957,34188,7661,7564,97,629.98,False
SG2_130663961,Ranked Solo/Duo,1769356871670,2026-01-25 16:01:11,2026-01-25 16:39:23,2292,Sion,TOP,2,7,18,2.86,15485,302,7.91,30108,60753,15929,8711,7218,788.17,False
SG2_130431452,Ranked Solo/Duo,1769277582019,2026-01-24 17:59:42,2026-01-24 18:39:33,2391,Ambessa,TOP,2,11,7,0.82,10973,189,4.74,18781,48449,5685,4083,1602,471.29,False
SG2_130420776,Ranked Solo/Duo,1769275586535,2026-01-24 17:26:26,2026-01-24 17:55:23,1737,Aatrox,TOP,11,1,8,19.0,14189,219,7.56,33274,31711,14245,9306,4939,1149.36,True
SG2_130412159,Ranked Solo/Duo,1769273216649,2026-01-24 16:46:56,2026-01-24 17:19:31,1955,Gnar,TOP,4,7,5,1.29,11025,192,5.89,36235,43685,9461,6086,3375,1112.07,False
SG2_130397306,Ranked Solo/Duo,1769270293972,2026-01-24 15:58:13,2026-01-24 16:39:45,2492,Pantheon,TOP,7,7,12,2.71,15339,229,5.51,34840,43715,9344,7463,1881,838.84,True
