match_id,game_mode,game_start_timestamp,game_start_date,game_end_date,game_duration,champion,position,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,win
SG2_124621349,Ranked Solo/Duo,1767341689837,2026-01-02 08:14:49,2026-01-02 08:55:42,2453,KSante,TOP,3,4,11,3.5,13904,233,5.7,20686,48661,14937,3362,11575,505.98,True
SG2_124615162,Ranked Solo/Duo,1767340020486,2026-01-02 07:47:00,2026-01-02 08:10:04,1384,Ambessa,TOP,1,6,1,0.33,6607,129,5.59,12299,22032,2414,0,2414,533.19,False
SG2_124611156,Ranked Solo/Duo,1767338993899,2026-01-02 07:29:53,2026-01-02 07:37:34,461,Rakan,UTILITY,0,1,1,1.0,1763,11,1.43,448,1065,609,0,609,58.31,True
SG2_124498309,Ranked Solo/Duo,1767286761506,2026-01-01 16:59:21,2026-01-01 17:27:14,1673,Blitzcrank,UTILITY,1,3,25,8.67,8563,20,0.72,10323,20032,3422,301,3121,370.22,True
SG2_124056980,Ranked Solo/Duo,1767155464244,2025-12-31 04:31:04,2025-12-31 04:57:15,1571,Ambessa,TOP,6,2,6,6.0,10064,153,5.84,21881,21853,16154,3737,12417,835.68,True
SG2_123441805,Ranked Solo/Duo,1766943980428,2025-12-28 17:46:20,2025-12-28 18:17:57,1897,Velkoz,UTILITY,3,8,6,1.12,8292,48,1.52,22534,22744,4631,940,3691,712.73,False
SG2_123435230,Ranked Solo/Duo,1766941925451,2025-12-28 17:12:05,2025-12-28 17:40:55,1730,Ambessa,TOP,2,3,11,4.33,9878,157,5.45,20495,24301,14826,5718,9108,710.81,True
SG2_123419740,Ranked Solo/Duo,1766938955320,2025-12-28 16:22:35,2025-12-28 17:04:48,2533,Aatrox,TOP,7,6,8,2.5,14680,226,5.35,31670,47944,13675,2106,11569,750.18,False
SG2_123404584,Ranked Solo/Duo,1766936263910,2025-12-28 15:37:43,2025-12-28 16:17:09,2366,Ambessa,TOP,12,11,11,2.09,15875,194,4.92,39707,55973,10436,3059,7377,1006.94,False
