match_id,game_mode,game_start_timestamp,game_start_date,game_end_date,game_duration,champion,position,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,win
SG2_121175735,Ranked Solo/Duo,1766236876089,2025-12-20 13:21:16,2025-12-20 13:53:16,1920,Ambessa,TOP,3,4,8,2.75,10360,170,5.31,30418,27525,9768,999,8769,950.56,True
SG2_121172574,Ranked Solo/Duo,1766236327666,2025-12-20 13:12:07,2025-12-20 13:13:57,110,Ambessa,TOP,0,0,0,0,521,0,0.0,148,197,0,0,0,80.73,True
SG2_121163663,Ranked Solo/Duo,1766234203531,2025-12-20 12:36:43,2025-12-20 13:00:42,1439,Gnar,TOP,4,3,3,2.33,8235,156,6.5,14348,22560,1559,1559,0,598.25,False
SG2_121149379,Ranked Solo/Duo,1766230627853,2025-12-20 11:37:07,2025-12-20 12:01:36,1469,Ambessa,TOP,1,7,8,1.29,7051,122,4.98,16314,25568,0,0,0,666.33,False
SG2_121102528,Ranked Flex,1766218809062,2025-12-20 08:20:09,2025-12-20 09:03:14,2585,Aatrox,JUNGLE,7,7,18,3.57,16404,240,5.57,26009,65059,48539,2342,46197,603.69,True
SG2_121083799,Ranked Solo/Duo,1766214785747,2025-12-20 07:13:05,2025-12-20 07:42:28,1763,Ambessa,TOP,5,2,9,7.0,12080,174,5.92,19747,19236,19969,9560,10409,672.05,True
SG2_121076743,Ranked Solo/Duo,1766212826225,2025-12-20 06:40:26,2025-12-20 07:06:18,1552,Swain,TOP,1,3,8,3.0,9077,176,6.8,25978,25380,3019,2280,739,1004.3,False
SG2_120894635,Ranked Flex,1766150510340,2025-12-19 13:21:50,2025-12-19 13:46:17,1467,Aatrox,TOP,1,9,4,0.56,8008,154,6.3,12561,29605,3017,3017,0,513.74,False
SG2_120879444,Ranked Flex,1766147489895,2025-12-19 12:31:29,2025-12-19 13:14:36,2587,Illaoi,TOP,5,12,9,1.17,14938,206,4.78,63499,82563,9542,3688,5854,1472.73,False
SG2_120867962,Ranked Flex,1766145251012,2025-12-19 11:54:11,2025-12-19 12:25:23,1872,Ambessa,TOP,5,5,13,3.6,12870,170,5.45,27774,29428,12591,4585,8006,890.19,True
