match_id,game_mode,game_start_timestamp,game_start_date,game_end_date,game_duration,champion,position,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,win
SG2_128574303,Ranked Solo/Duo,1768645180556,2026-01-17 10:19:40,2026-01-17 10:41:19,1299,Gnar,TOP,5,1,0,5.0,9155,174,8.04,10036,15122,26720,8478,18242,463.56,True
SG2_128536599,Ranked Solo/Duo,1768635922646,2026-01-17 07:45:22,2026-01-17 08:16:41,1879,Volibear,TOP,7,6,6,2.17,13563,178,5.68,28170,33066,22942,21564,1378,899.52,True
SG2_128531174,Ranked Solo/Duo,1768634065850,2026-01-17 07:14:25,2026-01-17 07:39:50,1525,Sion,TOP,1,2,5,3.0,9025,224,8.81,17087,32059,1651,1651,0,672.28,False
SG2_128523403,Ranked Solo/Duo,1768632042662,2026-01-17 06:40:42,2026-01-17 07:07:00,1578,Ambessa,TOP,3,8,2,0.62,8591,166,6.31,14818,24505,4187,1541,2646,563.42,False
SG2_128517052,Ranked Solo/Duo,1768630287271,2026-01-17 06:11:27,2026-01-17 06:34:40,1393,Ornn,TOP,3,2,4,3.5,7737,159,6.85,16478,17641,2166,1786,380,709.75,False
SG2_127898287,Ranked Solo/Duo,1768405506951,2026-01-14 15:45:06,2026-01-14 16:32:52,2866,Ambessa,TOP,11,9,16,3.0,19514,275,5.76,50286,59569,14872,12868,2004,1052.74,True
SG2_127617912,Ranked Solo/Duo,1768315374232,2026-01-13 14:42:54,2026-01-13 15:23:21,2427,Malphite,JUNGLE,14,7,16,4.29,18013,191,4.72,42396,37315,26775,3222,23553,1048.11,True
SG2_127603302,Ranked Solo/Duo,1768312325349,2026-01-13 13:52:05,2026-01-13 14:36:52,2687,Aatrox,TOP,5,12,9,1.17,15186,231,5.16,34773,82846,6898,4663,2235,776.47,False
SG2_127301962,Ranked Solo/Duo,1768215780061,2026-01-12 11:03:00,2026-01-12 11:36:01,1981,Malphite,TOP,7,3,13,6.67,13014,168,5.09,30689,20702,8613,7249,1364,929.5,True
SG2_127297772,Ranked Solo/Duo,1768214457255,2026-01-12 10:40:57,2026-01-12 10:56:27,930,Ornn,TOP,2,1,2,4.0,6175,111,7.16,9057,8814,2267,2267,0,584.32,False
SG2_127104644,Ranked Solo/Duo,1768141490342,2026-01-11 14:24:50,2026-01-11 14:50:59,1569,Gnar,TOP,6,0,13,19,11448,189,7.23,24567,18777,16413,8466,7947,939.46,True
SG2_127082673,Ranked Solo/Duo,1768137818054,2026-01-11 13:23:38,2026-01-11 14:18:45,3307,Rakan,UTILITY,1,11,30,2.82,15626,46,0.83,12018,55061,4231,1139,3092,218.05,False
SG2_127061269,Ranked Solo/Duo,1768133065059,2026-01-11 12:04:25,2026-01-11 12:40:58,2193,Rakan,UTILITY,1,7,23,3.43,10866,25,0.68,9799,25555,2712,2255,457,268.1,True
SG2_127055158,Ranked Solo/Duo,1768131786491,2026-01-11 11:43:06,2026-01-11 11:58:46,940,TahmKench,UTILITY,1,2,3,2.0,4410,27,1.72,5462,10032,423,236,187,348.64,False
SG2_127044992,Ranked Solo/Duo,1768129952410,2026-01-11 11:12:32,2026-01-11 11:37:38,1506,TahmKench,UTILITY,2,3,14,5.33,8336,28,1.12,9334,15412,5996,3437,2559,371.87,True
SG2_127035960,Ranked Solo/Duo,1768127757299,2026-01-11 10:35:57,2026-01-11 11:07:40,1903,Milio,UTILITY,0,1,23,23.0,9661,30,0.95,7624,12675,4148,1276,2872,240.38,True
SG2_127032228,Ranked Solo/Duo,1768126494841,2026-01-11 10:14:54,2026-01-11 10:30:05,911,Yuumi,UTILITY,4,3,6,3.33,5105,11,0.72,3496,6797,96,96,0,230.25,False
SG2_127020720,Ranked Solo/Duo,1768124168980,2026-01-11 09:36:08,2026-01-11 10:08:54,1966,Nami,UTILITY,0,12,23,1.92,9313,28,0.85,10122,29883,2565,2114,451,308.91,False
SG2_127008983,Ranked Solo/Duo,1768121775845,2026-01-11 08:56:15,2026-01-11 09:28:24,1929,Ornn,TOP,2,5,7,1.8,10816,232,7.22,16602,32808,13843,9359,4484,516.39,False
SG2_126999693,Ranked Solo/Duo,1768119432094,2026-01-11 08:17:12,2026-01-11 08:49:29,1937,Ambessa,TOP,3,6,7,1.67,11201,207,6.41,30230,38750,8833,5315,3518,936.4,False
SG2_126976934,Ranked Solo/Duo,1768114509106,2026-01-11 06:55:09,2026-01-11 07:39:01,2632,Aatrox,TOP,3,6,6,1.5,15938,293,6.68,23822,43408,10742,10742,0,543.05,False
SG2_126970024,Ranked Solo/Duo,1768112266583,2026-01-11 06:17:46,2026-01-11 06:50:03,1937,Ambessa,TOP,6,7,6,1.71,11780,203,6.29,40407,40552,1788,1788,0,1251.64,False
SG2_126839711,Ranked Solo/Duo,1768060702615,2026-01-10 15:58:22,2026-01-10 16:46:33,2891,Ambessa,TOP,13,8,15,3.5,20070,288,5.98,85003,72058,16068,5824,10244,1764.16,False
