match_id,game_mode,game_start_timestamp,game_start_date,game_duration,champion,role,lane,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,rank,win
SG2_119132448,URF,1765612365871,2025-12-13 07:52:45,1162,Lillia,SUPPORT,NONE,12,8,9,2.62,15243,89,4.6,36930,41850,9961,4613,5348,1906.88,Invalid,True
SG2_119063934,Ranked Solo/Duo,1765592875802,2025-12-13 02:27:55,1836,Ambessa,SOLO,TOP,5,3,6,3.67,11800,180,5.88,18352,31379,22616,4744,17872,599.74,TOP,True
SG2_118827320,Ranked Solo/Duo,1765525633163,2025-12-12 07:47:13,1495,Blitzcrank,SUPPORT,BOTTOM,1,1,18,19.0,7425,18,0.72,8071,15088,4060,993,3067,323.92,UTILITY,True
SG2_118817993,Ranked Solo/Duo,1765523648642,2025-12-12 07:14:08,1702,Rakan,SUPPORT,MIDDLE,0,6,9,1.5,6815,33,1.16,6283,21130,2600,0,2600,221.49,UTILITY,False
SG2_118750135,Ranked Solo/Duo,1765496402184,2025-12-11 23:40:02,1736,Jhin,CARRY,BOTTOM,1,7,5,0.86,8910,178,6.15,13742,22325,7395,0,7395,474.95,BOTTOM,False
SG2_118749119,Ranked Solo/Duo,1765494215059,2025-12-11 23:03:35,1887,Sion,NONE,JUNGLE,1,4,19,5.0,14270,229,7.28,21016,39596,13686,7627,6059,668.24,TOP,True
SG2_118744874,Ranked Solo/Duo,1765493253088,2025-12-11 22:47:33,465,Ambessa,SUPPORT,NONE,1,1,0,1.0,1962,21,2.71,2082,2797,0,0,0,268.65,TOP,False
SG2_118744177,Ranked Solo/Duo,1765490527956,2025-12-11 22:02:07,2135,Ambessa,SOLO,TOP,3,12,11,1.17,10568,139,3.91,27327,40038,6649,736,5913,767.97,TOP,False
SG2_118742087,Ranked Solo/Duo,1765488675902,2025-12-11 21:31:15,1451,Gwen,NONE,JUNGLE,2,6,1,0.5,7330,149,6.16,12712,22661,521,228,293,525.65,TOP,False
SG2_118736950,Ranked Solo/Duo,1765486475722,2025-12-11 20:54:35,1777,Ambessa,SOLO,TOP,8,4,6,3.5,13772,205,6.92,21133,27781,14894,5432,9462,713.55,TOP,True
SG2_118732663,Ranked Solo/Duo,1765483364531,2025-12-11 20:02:44,2102,Kled,SOLO,TOP,4,8,9,1.62,13215,190,5.42,22254,52366,14023,10317,3706,635.22,TOP,False
SG2_118726893,Ranked Solo/Duo,1765480915652,2025-12-11 19:21:55,1711,Volibear,SOLO,TOP,4,8,7,1.38,9800,155,5.44,36521,46454,4612,3116,1496,1280.69,TOP,False
SG2_118725412,Ranked Solo/Duo,1765479196721,2025-12-11 18:53:16,1357,Pantheon,NONE,JUNGLE,5,3,11,5.33,8734,120,5.31,22322,17066,8232,4741,3491,986.97,TOP,True
SG2_118719048,Ranked Solo/Duo,1765477107452,2025-12-11 18:18:27,1764,KSante,SOLO,TOP,7,3,6,4.33,11065,160,5.44,20011,38882,7734,1687,6047,680.65,TOP,False
SG2_118709825,Ranked Solo/Duo,1765474968060,2025-12-11 17:42:48,1711,Pantheon,SOLO,TOP,4,6,6,1.67,10977,175,6.14,19399,23339,6701,0,6701,680.27,TOP,False
SG2_118696516,Ranked Solo/Duo,1765472005026,2025-12-11 16:53:25,1699,KSante,SOLO,TOP,2,9,3,0.56,8600,135,4.77,18478,39091,0,0,0,652.55,TOP,False
SG2_118436395,Ranked Solo/Duo,1765404823713,2025-12-10 22:13:43,2287,Gnar,SOLO,TOP,5,9,13,2.0,13639,203,5.33,27404,42303,15018,8776,6242,718.95,TOP,True
SG2_118434343,Ranked Solo/Duo,1765402561557,2025-12-10 21:36:01,1890,Aatrox,SOLO,TOP,4,6,4,1.33,10604,193,6.13,19525,40626,12017,3563,8454,619.84,TOP,False
SG2_118430617,Ranked Solo/Duo,1765400118003,2025-12-10 20:55:18,2015,Pantheon,SOLO,TOP,8,6,7,2.5,12919,189,5.63,33978,33151,2760,870,1890,1011.75,TOP,False
SG2_118428152,Ranked Solo/Duo,1765397971956,2025-12-10 20:19:31,1781,Swain,SOLO,TOP,4,6,4,1.33,10295,179,6.03,29685,33485,1562,515,1047,1000.06,TOP,False
SG2_118421952,Ranked Solo/Duo,1765395538047,2025-12-10 19:38:58,1873,Gnar,SOLO,TOP,6,3,7,4.33,13446,218,6.98,30469,27908,9977,7677,2300,976.05,TOP,True
SG2_118418341,Ranked Solo/Duo,1765393418230,2025-12-10 19:03:38,1820,Rell,SUPPORT,BOTTOM,1,5,26,5.4,9808,25,0.82,11342,24659,6643,2696,3947,373.91,UTILITY,True
SG2_118411401,Ranked Solo/Duo,1765391307715,2025-12-10 18:28:27,1693,Pantheon,SOLO,TOP,5,4,3,2.0,10253,153,5.42,13115,22482,14916,2088,12828,464.8,TOP,False
SG2_118074136,Ranked Flex,1765300438605,2025-12-09 17:13:58,2299,Gangplank,SOLO,TOP,11,9,9,2.22,20834,262,6.84,39773,48952,16221,6027,10194,1038.01,TOP,True
SG2_118059675,Ranked Flex,1765298067481,2025-12-09 16:34:27,1970,Gwen,SOLO,TOP,3,10,3,0.6,11918,165,5.03,20590,33958,5020,2891,2129,627.11,TOP,False
SG2_118048371,Ranked Flex,1765296167323,2025-12-09 16:02:47,1436,Gwen,SOLO,TOP,6,8,4,1.25,9900,129,5.39,17078,22606,7750,1360,6390,713.57,TOP,False
SG2_118015441,Ranked Solo/Duo,1765291325364,2025-12-09 14:42:05,1856,Volibear,SOLO,TOP,8,8,4,1.5,12844,213,6.89,32598,40957,16747,7612,9135,1053.81,TOP,False
SG2_117998867,Ranked Solo/Duo,1765289101861,2025-12-09 14:05:01,1597,Aatrox,SOLO,TOP,5,3,4,3.0,9406,153,5.75,13484,24906,8207,3365,4842,506.6,TOP,False
SG2_117735691,Ranked Solo/Duo,1765209564513,2025-12-08 15:59:24,1793,Aatrox,SOLO,TOP,3,6,6,1.5,10682,164,5.49,19387,34747,11411,1310,10101,648.76,TOP,True
SG2_117730789,Ranked Solo/Duo,1765209017473,2025-12-08 15:50:17,117,Jhin,SUPPORT,NONE,1,0,0,1,857,1,0.51,503,873,0,0,0,257.95,BOTTOM,False
