match_id,game_mode,game_start_timestamp,game_start_date,game_duration,champion,role,lane,kills,deaths,assists,KDA,gold_earned,cs,cs_per_minute,damage_dealt,damage_taken,damage_objectives,damage_towers,damage_dragons_estimated,damage_per_minute,rank,win
SG2_126826488,Ranked Solo/Duo,1768058510074,2026-01-10 15:21:50,1885,TahmKench,SUPPORT,BOTTOM,0,6,11,1.83,7726,23,0.73,10633,35037,1137,0,1137,338.45,UTILITY,False
SG2_126812953,Ranked Solo/Duo,1768056256248,2026-01-10 14:44:16,1864,Gangplank,NONE,JUNGLE,8,8,10,2.25,14271,204,6.57,24617,36473,6122,6122,0,792.39,TOP,False
SG2_126811526,Ranked Solo/Duo,1768055914230,2026-01-10 14:38:34,94,Aatrox,SUPPORT,NONE,0,0,0,0,560,0,0.0,733,765,0,0,0,467.87,TOP,False
SG2_126794921,Ranked Solo/Duo,1768053342890,2026-01-10 13:55:42,2041,Leona,SUPPORT,BOTTOM,4,10,20,2.4,10579,29,0.85,14167,35638,1954,1472,482,416.47,UTILITY,False
SG2_126787984,Ranked Solo/Duo,1768052048913,2026-01-10 13:34:08,942,TahmKench,SUPPORT,NONE,2,1,1,3.0,4097,9,0.57,6494,12065,0,0,0,413.63,UTILITY,False
SG2_126777878,Ranked Solo/Duo,1768049725702,2026-01-10 12:55:25,1976,Rakan,SUPPORT,MIDDLE,1,4,23,6.0,10513,29,0.88,8795,21135,8743,5890,2853,267.05,UTILITY,True
SG2_126605176,Ranked Solo/Duo,1767985991565,2026-01-09 19:13:11,1725,Volibear,NONE,JUNGLE,5,5,4,1.8,10404,161,5.6,16322,32174,7684,5954,1730,567.72,TOP,False
SG2_126596761,Ranked Solo/Duo,1767983590750,2026-01-09 18:33:10,2094,Aatrox,DUO,TOP,6,7,11,2.43,13070,198,5.67,28537,43331,4920,4408,512,817.68,TOP,False
SG2_126589780,Ranked Solo/Duo,1767981680105,2026-01-09 18:01:20,1500,TahmKench,SUPPORT,BOTTOM,2,2,18,10.0,8300,24,0.96,13831,19948,6022,4790,1232,553.24,UTILITY,True
SG2_126582667,Ranked Solo/Duo,1767980054336,2026-01-09 17:34:14,1320,TahmKench,SUPPORT,BOTTOM,2,4,21,5.75,8084,24,1.09,8340,18361,8784,6609,2175,379.09,UTILITY,True
SG2_126574009,Ranked Solo/Duo,1767977713245,2026-01-09 16:55:13,1769,Jax,NONE,JUNGLE,3,6,3,1.0,9157,152,5.16,15614,30802,11004,7974,3030,529.59,TOP,True
SG2_126561226,Ranked Solo/Duo,1767975376566,2026-01-09 16:16:16,1952,TahmKench,SUPPORT,BOTTOM,4,3,19,7.67,9994,37,1.14,15759,31090,3619,1131,2488,484.4,UTILITY,True
SG2_126545488,Ranked Solo/Duo,1767972786514,2026-01-09 15:33:06,2114,Leona,SOLO,BOTTOM,0,7,18,2.57,10577,28,0.79,11255,27572,5211,2518,2693,319.44,UTILITY,True
SG2_126532756,Ranked Solo/Duo,1767970543955,2026-01-09 14:55:43,1763,Ambessa,SOLO,TOP,10,2,5,7.5,14423,224,7.62,28260,25291,12935,10130,2805,961.77,TOP,True
SG2_126518877,Ranked Solo/Duo,1767968358110,2026-01-09 14:19:18,1522,Blitzcrank,SUPPORT,BOTTOM,4,9,7,1.22,7694,14,0.55,12534,26008,535,535,0,494.11,UTILITY,False
SG2_126511551,Ranked Solo/Duo,1767966833289,2026-01-09 13:53:53,1195,Blitzcrank,SUPPORT,NONE,2,3,12,4.67,6301,23,1.15,6333,11072,3369,0,3369,317.97,UTILITY,True
SG2_126489404,Ranked Solo/Duo,1767962522577,2026-01-09 12:42:02,1858,KSante,NONE,JUNGLE,4,3,6,3.33,11461,197,6.36,21009,31760,3859,2745,1114,678.44,TOP,True
SG2_126480400,Ranked Solo/Duo,1767960221034,2026-01-09 12:03:41,2059,Ambessa,NONE,JUNGLE,7,3,7,4.67,12884,215,6.27,39009,38395,8275,7754,521,1136.74,TOP,False
SG2_126472001,Ranked Solo/Duo,1767957770892,2026-01-09 11:22:50,2079,Pantheon,NONE,JUNGLE,7,10,6,1.3,12601,199,5.74,23822,31782,1510,0,1510,687.5,TOP,False
SG2_126459612,Ranked Solo/Duo,1767955004131,2026-01-09 10:36:44,2363,Aatrox,NONE,JUNGLE,5,9,4,1.0,12356,192,4.88,30185,48871,7619,7619,0,766.44,TOP,False
SG2_126446784,Ranked Solo/Duo,1767951509779,2026-01-09 09:38:29,2173,Rakan,SUPPORT,BOTTOM,2,12,32,2.83,11687,44,1.21,9698,41781,7026,4110,2916,267.78,UTILITY,False
SG2_126440541,Ranked Solo/Duo,1767949583113,2026-01-09 09:06:23,1615,Pantheon,NONE,JUNGLE,7,4,1,2.0,9666,169,6.28,14588,14497,5070,4700,370,541.97,TOP,True
SG2_126432144,Ranked Solo/Duo,1767946866859,2026-01-09 08:21:06,2384,Kled,NONE,JUNGLE,4,11,11,1.36,13310,206,5.18,22542,63892,7125,7125,0,567.33,TOP,False
SG2_126423102,Ranked Solo/Duo,1767944398118,2026-01-09 07:39:58,2136,Rell,SUPPORT,BOTTOM,1,10,18,1.9,9141,35,0.98,16514,29747,2973,1470,1503,463.88,UTILITY,False
SG2_126399426,Ranked Solo/Duo,1767937540430,2026-01-09 05:45:40,1935,Pantheon,NONE,JUNGLE,11,6,13,4.0,13601,179,5.55,38958,35282,10379,4097,6282,1208.0,TOP,True
SG2_126390657,Ranked Solo/Duo,1767934847000,2026-01-09 05:00:47,2329,Volibear,NONE,JUNGLE,9,13,10,1.46,15078,171,4.41,33740,66279,3688,0,3688,869.21,JUNGLE,False
SG2_126279455,Ranked Solo/Duo,1767885427987,2026-01-08 15:17:07,1271,Aatrox,NONE,JUNGLE,3,1,1,4.0,8364,150,7.08,13305,16667,8143,7287,856,628.09,TOP,True
SG2_126265121,Ranked Solo/Duo,1767883021039,2026-01-08 14:37:01,2068,KSante,DUO,TOP,4,4,8,3.0,11492,207,6.01,21018,45133,4060,3821,239,609.81,TOP,False
SG2_126245963,Ranked Solo/Duo,1767880102166,2026-01-08 13:48:22,2598,Ambessa,NONE,JUNGLE,7,3,14,7.0,18111,302,6.97,64439,57114,19592,12246,7346,1488.2,TOP,True
SG2_126233958,Ranked Solo/Duo,1767877991314,2026-01-08 13:13:11,1846,Ambessa,NONE,JUNGLE,0,4,7,1.75,9873,221,7.18,19500,36050,1060,1060,0,633.8,TOP,False
SG2_126226157,Ranked Solo/Duo,1767875719061,2026-01-08 12:35:19,1895,Rakan,SUPPORT,BOTTOM,0,5,12,2.4,8085,37,1.17,8773,25642,2896,1568,1328,277.77,UTILITY,False
SG2_126206846,Ranked Solo/Duo,1767871459163,2026-01-08 11:24:19,2354,Aatrox,NONE,JUNGLE,17,8,14,3.88,17214,179,4.56,44153,54433,21452,11971,9481,1125.4,TOP,True
SG2_125774403,Ranked Solo/Duo,1767711519066,2026-01-06 14:58:39,101,Rell,SUPPORT,NONE,0,0,0,0,503,0,0.0,0,0,0,0,0,0.0,UTILITY,True
SG2_125556742,Ranked Solo/Duo,1767630316475,2026-01-05 16:25:16,2299,Blitzcrank,SUPPORT,BOTTOM,2,9,28,3.33,10964,32,0.84,18284,33513,2974,633,2341,477.18,UTILITY,True
SG2_125547954,Ranked Solo/Duo,1767628807096,2026-01-05 16:00:07,1114,Galio,SUPPORT,NONE,2,0,4,6,6808,135,7.27,7409,9404,5012,1972,3040,399.05,TOP,True
SG2_125534582,Ranked Solo/Duo,1767625914889,2026-01-05 15:11:54,2534,Ambessa,SOLO,TOP,5,11,15,1.82,17274,198,4.69,35998,53939,27702,10054,17648,852.36,TOP,False
SG2_125520232,Ranked Solo/Duo,1767623024962,2026-01-05 14:23:44,1755,Pantheon,DUO,MIDDLE,4,9,8,1.33,10796,182,6.22,23587,28400,7086,557,6529,806.39,TOP,False
